City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Hilo,US,81.25,haze,19.7297,-155.09,Hilo Hawaiian Hotel
17,Atuona,PF,77.49,clear sky,-9.8,-139.0333,Villa Enata
18,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
30,Porbandar,IN,77.14,clear sky,21.6422,69.6093,Lords Inn Porbandar
32,Kavieng,PG,84.22,light rain,-2.5744,150.7967,Nusa Island Retreat
35,Laguna,US,76.08,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
48,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
55,Phangnga,TH,77.04,overcast clouds,8.4509,98.5298,Sunimit Mansion
69,Lorengau,PG,85.44,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
72,Acapulco,MX,84.02,light rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
77,Vaitape,PF,79.63,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
79,Nkowakowa,ZA,78.35,scattered clouds,-23.8878,30.2871,Moytel 966A Guest House & Spa
81,Lompoc,US,78.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
87,Kununurra,AU,85.98,clear sky,-15.7667,128.7333,Hotel Kununurra
90,San Patricio,US,77.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
95,Nabire,ID,80.73,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
98,Sur,OM,79.65,clear sky,22.5667,59.5289,Sur Plaza Hotel
102,Banjar,ID,78.78,broken clouds,-8.19,114.9675,The Hamsa Resort
104,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
110,Samarai,PG,82.42,few clouds,-10.6167,150.6667,Nuli Sapi
117,Balabac,PH,80.58,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
121,Dingle,PH,78.01,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
134,Pontianak,ID,75.18,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
137,Cockburn Town,TC,80.35,light rain,21.4612,-71.1419,Osprey Beach Hotel
138,Port-Gentil,GA,78.76,thunderstorm,-0.7193,8.7815,Fengshui Residence
139,Celestun,MX,81.55,overcast clouds,20.8667,-90.4,Posada Lilia
144,Auki,SB,84.69,scattered clouds,-8.7676,160.7034,Auki Motel
146,Ron Phibun,TH,76.1,overcast clouds,8.1791,99.8542,Villa One Homestay&Camping
147,Butaritari,KI,81.52,light rain,3.0707,172.7902,Isles Sunset Lodge
155,Bonthe,SL,78.57,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
156,Denpasar,ID,76.71,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
160,Meulaboh,ID,76.3,overcast clouds,4.1363,96.1285,Kost Pria
161,Nata,PA,80.47,moderate rain,8.3333,-80.5167,Rey David
163,Davila,PH,78.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
165,Sao Filipe,CV,78.53,overcast clouds,14.8961,-24.4956,Hotel Xaguate
168,Sederot,IL,76.3,clear sky,31.525,34.5969,Ginkhou Inn
169,Kahului,US,89.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
172,Georgetown,MY,78.24,scattered clouds,5.4112,100.3354,Cititel Penang
180,Mombaca,BR,82.85,scattered clouds,-5.7431,-39.6275,Mombaça Premium Hotel
184,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
188,Marsh Harbour,BS,78.69,clear sky,26.5412,-77.0636,Abaco Beach Resort
193,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
198,Mahibadhoo,MV,81.32,overcast clouds,3.7833,72.9667,Omadhoo Inn
200,Itacoatiara,BR,81.45,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
201,Iracoubo,GF,80.4,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
202,Inhambane,MZ,75.85,clear sky,-23.865,35.3833,Oceano
203,Puerto Carreno,CO,83.48,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
206,Hamilton,US,75.15,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
