City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,73.33,74,62,16.98,broken clouds
1,Chokurdakh,RU,70.6333,147.9167,6.19,97,100,2.68,overcast clouds
2,Lagoa,PT,39.05,-27.9833,62.78,68,21,22.39,light rain
3,Ribeira Grande,PT,38.5167,-28.7,61.77,72,88,3.0,overcast clouds
4,Maarianhamina,AX,60.0973,19.9348,51.66,100,100,6.91,overcast clouds
5,Kapaa,US,22.0752,-159.319,84.52,72,0,17.27,clear sky
6,Port Hardy,CA,50.6996,-127.4199,48.38,81,75,2.3,broken clouds
7,Redding,US,40.5865,-122.3917,72.63,27,0,4.61,clear sky
8,Waipawa,NZ,-41.4122,175.5153,60.53,59,59,15.19,broken clouds
9,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,84,39,12.71,scattered clouds
10,Meridian,US,43.6121,-116.3915,53.82,50,0,5.75,clear sky
11,Tasiilaq,GL,65.6145,-37.6368,32.16,96,100,3.71,light snow
12,Ancud,CL,-41.8697,-73.8203,52.29,94,88,17.29,light rain
13,Hilo,US,19.7297,-155.09,81.25,84,100,8.05,haze
14,Geraldton,AU,-28.7667,114.6,54.01,87,2,3.44,clear sky
15,Buraydah,SA,26.326,43.975,73.96,16,3,9.1,clear sky
16,Ushuaia,AR,-54.8,-68.3,49.66,46,75,8.05,broken clouds
17,Atuona,PF,-9.8,-139.0333,77.49,67,2,18.07,clear sky
18,Alofi,NU,-19.0595,-169.9187,78.69,53,75,12.66,broken clouds
19,Petershagen,DE,52.3833,8.9667,50.56,93,46,5.75,scattered clouds
20,Mar Del Plata,AR,-38.0023,-57.5575,68.09,85,0,5.99,light rain
21,Luderitz,NA,-26.6481,15.1594,64.83,57,100,12.26,overcast clouds
22,Carnarvon,AU,-24.8667,113.6333,64.47,59,0,21.85,clear sky
23,Bluff,NZ,-46.6,168.3333,53.8,89,100,15.48,light rain
24,Nikolskoye,RU,59.7035,30.7861,35.49,92,100,7.58,snow
25,Punta Arenas,CL,-53.15,-70.9167,48.11,66,100,24.56,overcast clouds
26,Lebu,CL,-37.6167,-73.65,55.31,91,85,10.13,overcast clouds
27,Saint-Francois,FR,46.4154,3.9054,62.04,72,98,6.91,light rain
28,Albany,US,42.6001,-73.9662,67.39,91,89,3.0,overcast clouds
29,Narsaq,GL,60.9167,-46.05,26.82,71,0,7.23,clear sky
30,Porbandar,IN,21.6422,69.6093,77.14,66,0,5.7,clear sky
31,Mehamn,NO,71.0357,27.8492,31.95,86,100,6.91,overcast clouds
32,Kavieng,PG,-2.5744,150.7967,84.22,72,100,6.08,light rain
33,Saint-Ambroise,CA,48.5501,-71.3324,58.59,87,100,4.09,overcast clouds
34,Bethel,US,41.3712,-73.414,68.09,86,100,3.44,overcast clouds
35,Laguna,US,38.421,-121.4238,76.08,34,0,6.91,clear sky
36,Bara,NG,10.3744,10.7288,77.52,30,35,6.46,scattered clouds
37,Akdepe,TM,42.0551,59.3788,54.54,58,74,13.2,broken clouds
38,Busselton,AU,-33.65,115.3333,55.72,86,78,7.49,broken clouds
39,Cherskiy,RU,68.75,161.3,-3.68,91,58,6.44,broken clouds
40,Xuddur,SO,4.1213,43.8894,72.27,85,74,9.48,broken clouds
41,Pacific Grove,US,36.6177,-121.9166,70.56,72,0,10.36,clear sky
42,Airai,TL,-8.9266,125.4092,66.09,79,100,1.25,overcast clouds
43,Puerto Ayora,EC,-0.7393,-90.3518,67.55,92,83,4.0,broken clouds
44,Tara,RU,56.8944,74.371,32.23,98,100,5.48,light snow
45,Margate,GB,51.3813,1.3862,61.3,86,100,4.0,overcast clouds
46,Muzhi,RU,65.3667,64.6667,21.96,87,97,5.86,overcast clouds
47,Vaini,TO,-21.2,-175.2,71.76,83,75,6.91,broken clouds
48,Puerto Escondido,MX,15.85,-97.0667,85.03,58,75,9.22,broken clouds
49,Ostrovnoy,RU,68.0531,39.5131,31.06,89,91,17.92,overcast clouds
