City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-10-25 15:26:59,-46.6,168.3333,44.47,83,100,6.46
1,Portland,US,2022-10-25 15:25:07,45.5234,-122.6762,50.74,94,75,7.0
2,Avarua,CK,2022-10-25 15:27:00,-21.2078,-159.775,71.65,68,40,9.22
3,Ankara,TR,2022-10-25 15:27:00,39.9199,32.8543,62.2,41,0,1.14
4,Butaritari,KI,2022-10-25 15:27:01,3.0707,172.7902,80.87,78,63,4.68
5,Punta Arenas,CL,2022-10-25 15:22:43,-53.15,-70.9167,48.31,61,100,12.66
6,Nishihara,JP,2022-10-25 15:27:02,26.1842,127.7558,69.08,56,75,13.8
7,Sao Filipe,CV,2022-10-25 15:27:03,14.8961,-24.4956,78.73,76,4,7.11
8,Busselton,AU,2022-10-25 15:27:04,-33.65,115.3333,51.26,81,0,5.61
9,Buala,SB,2022-10-25 15:27:05,-8.145,159.5921,79.25,82,2,3.6
10,Clyde River,CA,2022-10-25 15:27:06,70.4692,-68.5914,10.63,56,0,5.75
11,Glenwood Springs,US,2022-10-25 15:26:45,39.5505,-107.3248,31.35,67,26,1.59
12,Namibe,AO,2022-10-25 15:27:07,-15.1961,12.1522,73.24,75,31,13.38
13,Hermanus,ZA,2022-10-25 15:27:09,-34.4187,19.2345,66.79,68,44,6.2
14,Ponta Do Sol,PT,2022-10-25 15:27:10,32.6667,-17.1,77.63,87,63,7.0
15,Hobart,AU,2022-10-25 15:25:51,-42.8794,147.3294,55.26,96,100,12.66
16,Ketchikan,US,2022-10-25 15:26:28,55.3422,-131.6461,43.27,87,100,0.0
17,Atuona,PF,2022-10-25 15:27:11,-9.8,-139.0333,76.35,77,9,20.29
18,Ushuaia,AR,2022-10-25 15:27:11,-54.8,-68.3,44.22,56,20,5.75
19,Dzhebariki-Khaya,RU,2022-10-25 15:27:12,62.2167,135.8,21.06,93,99,9.26
20,Nikolskoye,RU,2022-10-25 15:27:12,59.7035,30.7861,39.09,68,96,6.4
21,Arraial Do Cabo,BR,2022-10-25 15:27:13,-22.9661,-42.0278,80.56,73,40,11.5
22,Hamilton,US,2022-10-25 15:27:13,39.1834,-84.5333,71.22,54,75,13.8
23,Yumen,CN,2022-10-25 15:27:15,40.2833,97.2,45.45,40,0,10.54
24,Cururupu,BR,2022-10-25 15:23:43,-1.8283,-44.8683,90.34,49,100,7.96
25,Barrow,US,2022-10-25 15:27:16,71.2906,-156.7887,17.62,93,100,21.85
26,Kaduna,NG,2022-10-25 15:27:03,10.5222,7.4383,92.23,23,99,9.91
27,Rikitea,PF,2022-10-25 15:23:15,-23.1203,-134.9692,72.84,76,48,15.39
28,Cape Town,ZA,2022-10-25 15:27:17,-33.9258,18.4232,71.11,62,20,24.16
29,Svetlogorsk,BY,2022-10-25 15:27:17,52.6333,29.7333,50.31,96,100,5.86
30,Arlit,NE,2022-10-25 15:27:18,18.7369,7.3853,94.42,13,0,10.51
31,Mataura,NZ,2022-10-25 15:27:19,-46.1927,168.8643,38.12,95,99,1.41
32,Moron,AR,2022-10-25 15:27:19,-34.6534,-58.6198,80.94,62,94,8.99
33,Port Alfred,ZA,2022-10-25 15:27:21,-33.5906,26.891,67.17,76,92,5.99
34,Ribeira Grande,PT,2022-10-25 15:27:22,38.5167,-28.7,67.77,63,75,10.0
35,Korla,CN,2022-10-25 15:27:22,41.7597,86.1469,52.52,36,100,1.77
36,Hilo,US,2022-10-25 15:27:23,19.7297,-155.09,73.62,82,100,6.91
37,Masterton,NZ,2022-10-25 15:27:23,-40.9597,175.6575,47.88,94,15,2.8
38,Dikson,RU,2022-10-25 15:27:24,73.5069,80.5464,26.62,78,100,12.28
39,Hazorasp,UZ,2022-10-25 15:27:25,41.3194,61.0742,53.44,75,70,7.16
40,Katsuura,JP,2022-10-25 15:27:26,35.1333,140.3,54.81,88,100,28.36
41,Kapaa,US,2022-10-25 15:27:27,22.0752,-159.319,79.12,86,20,13.8
42,Axim,GH,2022-10-25 15:27:28,4.8699,-2.2405,82.22,75,100,7.4
43,Khatanga,RU,2022-10-25 15:27:29,71.9667,102.5,9.88,96,88,7.99
44,Cap-Aux-Meules,CA,2022-10-25 15:27:29,47.3821,-61.8597,57.22,94,100,12.66
45,Samarai,PG,2022-10-25 15:27:30,-10.6167,150.6667,80.22,70,93,5.37
46,San Cristobal,VE,2022-10-25 15:28:32,7.7669,-72.225,77.18,45,26,2.8
47,Chokurdakh,RU,2022-10-25 15:28:32,70.6333,147.9167,3.45,90,100,3.76
48,Bathsheba,BB,2022-10-25 15:28:33,13.2167,-59.5167,88.41,70,40,12.66
49,Tautira,PF,2022-10-25 15:28:33,-17.7333,-149.15,78.3,84,100,25.12
50,Rawson,AR,2022-10-25 15:27:38,-43.3002,-65.1023,63.72,41,73,11.77
51,Muroto,JP,2022-10-25 15:28:34,33.2833,134.15,60.94,61,0,13.82
52,Nizwa,OM,2022-10-25 15:28:34,22.9333,57.5333,82.78,22,0,2.13
53,Belle Fourche,US,2022-10-25 15:28:35,44.6714,-103.8522,48.09,46,15,13.27
54,Abha,SA,2022-10-25 15:28:35,18.2164,42.5053,67.82,72,40,6.91
55,Georgetown,MY,2022-10-25 15:24:22,5.4112,100.3354,80.89,90,40,3.44
56,Saskylakh,RU,2022-10-25 15:28:36,71.9167,114.0833,7.54,95,100,5.93
57,Hlyboka,UA,2022-10-25 15:28:37,48.0897,25.9293,60.19,93,100,6.13
58,Kavaratti,IN,2022-10-25 15:28:37,10.5669,72.642,82.8,62,23,10.22
59,Saldanha,ZA,2022-10-25 15:28:38,-33.0117,17.9442,68.05,71,100,17.72
60,Laguna,US,2022-10-25 15:28:40,38.421,-121.4238,57.09,59,0,1.01
61,Margate,GB,2022-10-25 15:28:40,51.3813,1.3862,62.11,80,81,5.01
62,East London,ZA,2022-10-25 15:28:40,-33.0153,27.9116,68.94,64,0,21.85
63,Pecos,US,2022-10-25 15:28:41,31.4229,-103.4932,53.31,57,0,0.0
64,Hualmay,PE,2022-10-25 15:28:41,-11.0964,-77.6139,65.7,72,60,8.86
65,Bulgan,MN,2022-10-25 15:28:42,48.8125,103.5347,16.75,88,9,3.24
66,Elbistan,TR,2022-10-25 15:28:42,38.2059,37.1983,58.84,26,0,1.25
67,Araouane,ML,2022-10-25 15:28:43,18.9048,-3.5265,95.16,8,98,8.59
68,Dingle,PH,2022-10-25 15:28:43,10.9995,122.6711,76.68,90,100,4.65
69,Alice Springs,AU,2022-10-25 15:28:44,-23.7,133.8833,72.95,60,75,5.75
70,Walcz,PL,2022-10-25 15:28:44,53.2779,16.4712,56.39,80,99,10.98
71,Geraldton,AU,2022-10-25 15:28:45,-28.7667,114.6,55.81,82,0,8.05
72,Bilma,NE,2022-10-25 15:28:45,18.6853,12.9164,86.67,11,0,9.55
73,Upernavik,GL,2022-10-25 15:28:46,72.7868,-56.1549,25.21,94,100,12.93
74,Bereda,ES,2022-10-25 15:28:46,43.2686,-7.5406,62.42,98,74,10.63
75,Hay River,CA,2022-10-25 15:28:47,60.8156,-115.7999,33.78,93,100,14.97
76,Deputatskiy,RU,2022-10-25 15:28:47,69.3,139.9,13.89,84,100,11.56
77,Udachnyy,RU,2022-10-25 15:28:48,66.4167,112.4,10.42,93,26,7.67
78,Mukdahan,TH,2022-10-25 15:28:49,16.5833,104.5,72.82,84,100,10.98
79,Sinazongwe,ZM,2022-10-25 15:28:50,-17.2614,27.4618,93.27,35,5,3.38
80,New Norfolk,AU,2022-10-25 15:28:51,-42.7826,147.0587,54.91,82,100,5.01
81,Caravelas,BR,2022-10-25 15:28:51,-17.7125,-39.2481,77.49,81,89,4.18
82,Adrar,MR,2022-10-25 15:28:52,20.5022,-10.0711,92.23,9,95,10.45
83,Saint-Philippe,RE,2022-10-25 15:28:52,-21.3585,55.7679,74.79,77,48,12.84
84,Lavrentiya,RU,2022-10-25 15:28:53,65.5833,-171.0,26.2,84,99,11.27
85,Iqaluit,CA,2022-10-25 15:28:54,63.7506,-68.5145,19.13,73,100,13.8
86,Sorland,NO,2022-10-25 15:28:54,67.667,12.6934,44.46,65,19,9.33
87,Leningradskiy,RU,2022-10-25 15:28:55,69.3833,178.4167,4.08,89,54,4.59
88,Tuktoyaktuk,CA,2022-10-25 15:28:56,69.4541,-133.0374,14.0,85,75,4.61
89,Ongwediva,NA,2022-10-25 15:28:56,-17.7833,15.7667,93.16,16,17,9.75
90,Kamaishi,JP,2022-10-25 15:28:57,39.2667,141.8833,50.25,70,95,10.83
91,Carnarvon,AU,2022-10-25 15:29:57,-24.8667,113.6333,66.16,66,0,25.55
92,Kavieng,PG,2022-10-25 15:29:58,-2.5744,150.7967,81.54,79,100,6.98
93,Zabol,AF,2022-10-25 15:29:59,32.25,67.25,59.04,16,0,8.81
94,Nelson Bay,AU,2022-10-25 15:29:59,-32.7167,152.15,66.99,94,2,3.0
95,Cidreira,BR,2022-10-25 15:30:00,-30.1811,-50.2056,69.67,62,34,12.24
96,Shingu,JP,2022-10-25 15:30:01,33.7333,135.9833,51.01,80,1,6.4
97,Namatanai,PG,2022-10-25 15:30:02,-3.6667,152.4333,79.61,82,63,3.89
98,Saint George,US,2022-10-25 15:28:26,37.1041,-113.5841,47.79,55,0,0.0
99,Dire,ML,2022-10-25 15:30:03,12.2833,-10.9667,91.18,42,76,3.18
100,Longyearbyen,SJ,2022-10-25 15:30:04,78.2186,15.6401,15.64,79,20,4.61
101,Kruisfontein,ZA,2022-10-25 15:30:04,-34.0033,24.7314,65.88,71,89,18.72
102,Lagoa,PT,2022-10-25 15:30:05,39.05,-27.9833,62.64,68,61,21.05
103,Ipixuna,BR,2022-10-25 15:30:06,-1.7625,-48.8043,94.03,45,82,6.26
104,Nieuw Nickerie,SR,2022-10-25 15:30:06,5.95,-56.9833,81.84,81,100,6.02
105,Vanimo,PG,2022-10-25 15:30:07,-2.6741,141.3028,79.34,85,86,3.13
106,San Patricio,US,2022-10-25 15:30:08,28.017,-97.5169,71.46,37,0,17.87
107,Bredasdorp,ZA,2022-10-25 15:30:09,-34.5322,20.0403,65.1,65,51,14.9
108,Mahebourg,MU,2022-10-25 15:30:09,-20.4081,57.7,74.25,73,40,11.5
109,Vallenar,CL,2022-10-25 15:30:10,-28.5708,-70.7581,71.22,31,100,8.23
110,Petilia Policastro,IT,2022-10-25 15:30:10,39.1139,16.7855,78.3,51,36,3.91
111,Port Elizabeth,ZA,2022-10-25 15:27:15,-33.918,25.5701,68.09,77,40,17.27
112,Erzin,TR,2022-10-25 15:30:15,36.9559,36.2,72.16,35,0,5.5
113,Newnan,US,2022-10-25 15:30:15,33.3807,-84.7997,72.82,64,0,8.05
114,Rosetta,EG,2022-10-25 15:30:16,31.4044,30.4164,71.73,71,3,11.3
115,Kaitangata,NZ,2022-10-25 15:30:16,-46.2817,169.8464,40.42,89,98,3.83
116,Santa Rosa,PH,2022-10-25 15:30:17,14.3122,121.1114,76.08,96,89,10.87
117,Port Hardy,CA,2022-10-25 15:30:18,50.6996,-127.4199,44.78,93,100,0.0
118,Komsomolskiy,UZ,2022-10-25 15:30:19,40.4272,71.7189,54.32,87,100,4.61
119,Albany,US,2022-10-25 15:30:02,42.6001,-73.9662,65.23,95,100,4.79
120,Rio Grande,BR,2022-10-25 15:26:45,-32.035,-52.0986,75.31,64,0,12.82
